format,bits,family,distribution,SQNR_dB,MSE,KL_div,MaxAE,EffBits
SQ-Format-INT,8,Uniform,Uniform(±1.0),44.7775,1.1e-05,0.13575,0.0078,7.4374
SQ-Format-FP,8,Uniform,Uniform(±1.0),26.2467,0.000796,17.888176,0.1245,4.3595
INT8(T),8,Uniform,Uniform(±1.0),47.9996,5e-06,0.09045,0.0073,7.9726
INT8(C),8,Uniform,Uniform(±1.0),47.9996,5e-06,0.09045,0.0073,7.9726
HAD+INT8(T),8,Uniform,Uniform(±1.0),42.174,2e-05,0.029511,0.016,7.0049
HAD+INT8(C),8,Uniform,Uniform(±1.0),42.174,2e-05,0.029511,0.016,7.0049
MXINT8,8,Uniform,Uniform(±1.0),47.9996,5e-06,0.09045,0.0073,7.9726
MXFP8,8,Uniform,Uniform(±1.0),26.2467,0.000796,17.888176,0.1245,4.3595
FP16,8,Uniform,Uniform(±3.0),73.4035,0.0,0.000536,0.001,12.1921
SQ-Format-INT,8,Uniform,Uniform(±3.0),45.6666,8.2e-05,6.109727,0.0156,7.5851
SQ-Format-FP,8,Uniform,Uniform(±3.0),30.9157,0.002446,17.687431,0.125,5.135
INT8(T),8,Uniform,Uniform(±3.0),45.6666,8.2e-05,6.109727,0.0156,7.5851
INT8(C),8,Uniform,Uniform(±3.0),45.6666,8.2e-05,6.109727,0.0156,7.5851
HAD+INT8(T),8,Uniform,Uniform(±3.0),39.5777,0.000333,0.037799,0.0722,6.5737
HAD+INT8(C),8,Uniform,Uniform(±3.0),40.461,0.000272,0.03222,0.0722,6.7204
MXINT8,8,Uniform,Uniform(±3.0),45.6666,8.2e-05,6.109727,0.0156,7.5851
MXFP8,8,Uniform,Uniform(±3.0),30.9157,0.002446,17.687431,0.125,5.135
